A,B,C,D,E,F,G,H,J,K,L,M,N,P,R,S,T,V,W,X,Y,Z
x,C43,C43,x,C43,LT4,x,x,x,x,x,x,x,R2P,x,x,x,x,x,X1B,T34,FDG
x,T2D,FJD,x,T2D,T2D,x,V2B,x,x,x,x,x,N2N,x,x,x,x,LTM,X1B,X2B,V1N
x,T2D,T2D,C43,T2D,LT4,V1N,FDN,N4N,x,V2B,V2B,V1N,N2N,x,x,x,x,V1N,X1B,X2B,R2P
C43,T2D,R2P,V2B,T2D,T2D,V1N,FDN,V1N,R3B,V2B,V1N,T2D,FDN,x,K2B,x,x,V1N,X1B,V1N,N3N
V1N,T2D,R2P,V1N,T2D,T2D,FDN,LTM,N4N,V1N,V2B,V1N,V1N,N4N,FDO,V1N,x,LTM,N3N,R2P,V1N,R2P
T2D,T2D,R2P,R2P,T2D,T2D,R2N,T2D,N4N,R3B,V2B,V1N,T2D,N3N,FDO,FDE,LTM,x,N3N,X1B,V1N,FDG
T2D,T2D,V1N,R2P,T2D,LT4,R4B,T2D,V1N,V1N,V2B,V1N,V1N,V1N,x,V1N,x,X1B,N6B,X1B,T34,FDG
N2B,V1N,x,R2P,T5A,LT4,R2N,T2D,N4N,R3B,LTL,V1N,N3P,V1N,x,x,x,X1B,V1N,X1B,V1N,V1N
N2N,V1N,C43,N3N,T5A,V1N,V1N,T2D,N4N,V1N,N2P,V1N,R2P,LTL,x,X1B,x,x,V1N,X1B,T34,FDG
LT4,V1N,x,T2D,T5A,R2P,N3N,V2B,V1N,V1N,R2P,V1N,R2P,V1N,FDG,N2N,x,x,V1N,X1B,X2B,V1N
LT4,V1N,x,T2D,x,T2D,N3N,LTL,V1N,V1N,x,V1N,x,FDN,N2P,V1N,x,x,N8B,V1N,X2B,K1B
X1B,V1N,,T2D,T5A,T2D,N2N,FDO,x,x,R3N,V1N,R2B,V1N,x,K1B,LTM,X1B,N8B,X1B,X2B,V1N
LT4,x,,T5A,T5A,T2D,R2P,R2N,V1N,x,FDG,V1N,V1N,V1N,x,K2B,x,X1B,N6B,X1B,T34,T2D
N2B,C43,,x,T5A,x,V1N,LTL,V1N,FDO,V2B,V1N,V1N,N4N,x,x,x,X1B,N8B,X2B,N8B,T2D
LT4,x,,C43,LT4,C43,V1N,V2B,T2D,R2P,x,V1N,V1N,V1N,N2P,x,x,x,N9B,X1B,N2N,V1N
N2N,x,,,V1N,x,T2D,V2B,T2D,N2P,x,R2P,V1N,LTL,R2N,LTM,x,x,X2B,X1B,N2N,V1N
,x,,,T5A,x,x,T2D,T2D,V1N,FDO,V1N,V1N,LTL,V1N,x,x,LTM,X1B,V1N,N8B,V1N
,x,,,V2B,,x,T2D,V2B,R3B,FDO,V1N,V1N,V1N,N2N,X1B,LTM,LTM,X1B,N8B,N2N,V1N
,x,,,V2B,,R2N,T2D,V2B,x,N2N,V1N,T2D,N4N,N2P,X1B,LTM,LTM,X1B,N2N,x,T2D
,x,,,V1N,,V1N,T2D,N4N,x,V2B,V1N,T2D,N4N,V1N,X2B,x,LTM,N2N,N2N,N8B,V1N
,,,,V1N,,V1N,V1N,N4N,N3N,N2P,V1N,T2D,N4N,x,N8B,x,LTM,N8B,R2N,N8B,V1N
,,,,V1N,,N4N,V1N,N4N,N2N,R2P,V2B,x,N4N,x,N2N,x,,N2N,N2N,N2N,X2B
,,,,V1N,,N4N,x,x,V1N,N2P,K2B,N4N,N4N,x,x,x,,X2B,N2N,N2N,N2N
,,,,V1N,,N4N,C43,R3P,N3N,FDO,V1N,V1N,N4N,N2B,x,x,,N2N,V1N,N2N,X2B
,,,,V1N,,N4N,x,K2B,R2N,N2B,V1N,V1N,N4N,N2N,x,LTM,,R2N,N2N,X2B,N2N
,,,,V1N,,N4N,,R2B,R2N,V2B,K2B,V1N,LTM,N2N,x,x,,X2B,N2N,N2N,X2B
,,,,V1N,,N4N,,V1N,N2N,V1N,x,V1N,LTM,FDM,LTM,x,,N2N,x,X2B,x
,,,,,,X1B,,T2D,x,V1N,FDM,V1N,LTM,V1N,x,x,,X2B,N8B,N2N,N2N
,,,,,,X1B,,V2B,N2P,T2D,K2B,V1N,LTM,R2N,x,x,,X2B,X2B,R2N,N2N
,,,,,,R2N,,LTL,X1B,T2D,V2B,R2N,,R2N,x,x,,N2N,X2B,N2N,X2B
,,,,,,N6B,,V1N,N2N,T2D,K2B,V1N,,N2N,x,LTM,,V1N,x,N2N,X2B
,,,,,,V1N,,R2N,N2P,V1N,V1N,R4N,,V1N,x,x,,X2B,R2N,N2N,N2N
,,,,,,R2P,,R2N,R3N,x,V1N,x,,X2B,x,x,,X2B,N2N,x,N2N
,,,,,,V2B,,R3N,R2P,x,N2N,N4N,,N2N,x,x,,V1N,N2N,V1N,N2N
,,,,,,V2B,,R2N,R2N,x,FDM,N4N,,R2N,X2B,x,,V1N,V1N,N2N,N2N
,,,,,,T2D,,R2N,V2B,T2D,V2B,N4N,,X2B,N2N,x,,N2N,N2N,N2N,x
,,,,,,T2D,,R2N,LT4,T2D,V1N,N4N,,x,V1N,,,X2B,X2B,X2B,X2B
,,,,,,T2D,,FDO,x,T2D,V1N,N4N,,x,V1N,,,,X2B,N2N,N2N
,,,,,,x,,x,x,V2B,V1N,N4N,,x,x,,,,N2N,R2N,R2N
,,,,,,C43,,x,x,V1N,V1N,N4N,,x,x,,,,x,N2N,V1N
,,,,,,,,x,V1N,V1N,V1N,LTM,,LTM,x,,,,X2B,X2B,V1N
,,,,,,,,x,T2D,V1N,V1N,LTM,,x,x,,,,X2B,,X2B
,,,,,,,,x,T2D,T2D,N2N,LTM,,x,T44,,,,N2N,,V1N
,,,,,,,,x,T2D,x,X2B,LTM,,x,x,,,,X2B,,V1N
,,,,,,,,x,V1N,LT4,V1N,,,N2N,x,,,,V1N,,x
,,,,,,,,x,T2D,T2D,N2N,,,FDN,x,,,,x,,X2B
,,,,,,,,x,V2B,x,N2N,,,x,x,,,,,,X2B
,,,,,,,,x,V1N,x,N2N,,,x,x,,,,,,N2N
,,,,,,,,x,x,x,N2N,,,FDN,,,,,,,R2N
,,,,,,,,x,LT4,T2D,V1N,,,FDN,,,,,,,X2B
,,,,,,,,x,V1N,T2D,V1N,,,x,,,,,,,x
,,,,,,,,x,x,T2D,x,,,x,,,,,,,
,,,,,,,,x,x,T2D,x,,,,,,,,,,
,,,,,,,,x,T2D,V1N,x,,,,,,,,,,
,,,,,,,,x,T2D,V1N,N2N,,,,,,,,,,
,,,,,,,,x,T2D,V2B,N2N,,,,,,,,,,
,,,,,,,,x,T2D,V2B,N8B,,,,,,,,,,
,,,,,,,,x,T2D,x,V1N,,,,,,,,,,
,,,,,,,,x,T2D,,N2N,,,,,,,,,,
,,,,,,,,x,V1N,,N2N,,,,,,,,,,
,,,,,,,,x,x,,x,,,,,,,,,,
,,,,,,,,x,,,N8B,,,,,,,,,,
,,,,,,,,x,,,V1N,,,,,,,,,,
,,,,,,,,x,,,V1N,,,,,,,,,,
,,,,,,,,x,,,N2N,,,,,,,,,,
,,,,,,,,x,,,N2N,,,,,,,,,,
,,,,,,,,x,,,V1N,,,,,,,,,,
,,,,,,,,x,,,N2N,,,,,,,,,,
,,,,,,,,x,,,N2N,,,,,,,,,,
,,,,,,,,x,,,V1N,,,,,,,,,,
,,,,,,,,x,,,N2N,,,,,,,,,,
,,,,,,,,x,,,N2N,,,,,,,,,,
,,,,,,,,x,,,V1N,,,,,,,,,,
,,,,,,,,x,,,x,,,,,,,,,,
,,,,,,,,x,,,x,,,,,,,,,,
,,,,,,,,x,,,N2N,,,,,,,,,,
,,,,,,,,x,,,N2N,,,,,,,,,,
,,,,,,,,x,,,V1N,,,,,,,,,,
,,,,,,,,x,,,V1N,,,,,,,,,,
,,,,,,,,x,,,V1N,,,,,,,,,,
,,,,,,,,x,,,V1N,,,,,,,,,,
,,,,,,,,x,,,V1N,,,,,,,,,,
,,,,,,,,x,,,V1N,,,,,,,,,,
,,,,,,,,x,,,V1N,,,,,,,,,,
,,,,,,,,x,,,V1N,,,,,,,,,,
,,,,,,,,x,,,V1N,,,,,,,,,,
,,,,,,,,x,,,V1N,,,,,,,,,,
,,,,,,,,x,,,x,,,,,,,,,,
,,,,,,,,x,,,,,,,,,,,,,
,,,,,,,,x,,,,,,,,,,,,,
,,,,,,,,x,,,,,,,,,,,,,
